NSINDOOR02,"DISREPAIR INTERIOR DOOR"
NSBOAT,"BOAT COLLECTING WATER"
NSGUTTER05,"SAGGING EXCESSIVELY"
NSHEAT02,"HEATING FACILITIES IMPROPERLY INSTALLED"
NSOBSTRU01,"OBSTRUCTING EXIT USED AS FIRE ESCAPE"
NSROWTRASH,"ACCUMULATION OF TRASH IN RIGHT OF WAY"
NSELECT02,"CORDS HANGING FROM METAL OBJECTS"
NSODOR02,"MATERIAL CAUSING ODOR"
NSROOF06,"STRUCTURALLY UNSOUND ROOF"
NSRV02,"MORE THAN FOUR RV'S PRESENT"
NSPORCH05,"PORCH IN DISREPAIR"
NSDOOR07,"FRAME FOR DOOR IS IN DISREPAIR"
NSDBBLIGHT,"DIPALIDATED AND DETRIMENTAL TO AREA"
NSSAFETY,"DANGER TO HEALTH OR SAFETY OF PUBLIC"
NSEXPLOS02,"STORAGE OF EXPLOSIVE PERSONS JEAPARDY"
NSSUPPORT1,"STRUCTURAL MEMBERS WILL NOT CARRY LOAD"
NSPLUMB05,"BATHTUB/SHOWER NOT CONNECTED TO SEWER"
NSZWIND06,"PANE NOT PROPERLY FITTED"
NSDUMPSTER3,"REFUSE CONTAINERS NOT COVERED"
NSPLUMB11,"FIXTURE NOT SUPPLIED WITH HOT WATER"
NSSEWER02,"BROKEN SEWER CAUSED CAVE IN"
NSINTRASH,"INTERIOR UNSANITARY/TRASH"
NSZGUTT02,"SECTION(S) OF GUTTERING MISSING"
NSELECT01,"CORD RUN UNDER FLOOR COVERING"
NSELECT28,"OUTLETS (3) NOT IN KITCHEN"
NSRETAIN02,"RETAINING WALL IN DISREPAIR"
NSRETAIN01,"RETAINING WALL HAS CRACKS/MORTAR MISSING"
NSFLOOR03,"HOLE IN INTERIOR FLOOR"
NSSEWER01,"BROKEN PRIVATE SEWER LINE"
NSZWIND05,"PANE OF WINDOW IS MISSING"
NSZAWNG05,"AWNING/MARQUEE SAFETY HAZARD"
NSPORCH04,"FLOOR IN DISREPAIR"
NSWAHEAT09,"IMPROPER GAS LINE MATERIAL (WTR. HEAT)"
NSZSIGN03,"SIGN/BILLBOARD SUPPORT MEMBERS/DISREPAIR"
NSCEILNG04,"PAINT CHIPPED/PEELING ON CEILING"
NSZDISPL02,"DISPLAY WINDOW(S) HAS CRACKS"
NSZSAFETY,"SAFETY HAZARDS ON THE PREMISES"
NSZGUTT03,"DOWNSPOUT(S) IN DISREPAIR"
NSPORCH08,"SCREENS ARE TORN/DAMAGED"
NSZDOOR03,"DOOR NOT PROPERLY FITTED"
NSFOUND01,"CRACKS IN FOUNDATION"
NSZAWNG04,"AWNING/MARQUEE NOT STRUCTURALLLY SOUND"
NSDOOR12,"DOOR IN GENERAL DISREPAIR"
NSEAVES02,"LOOSE, ROTTED, OR MISSING FASCIA BOARDS"
NSSQAREA01,"INADEQUATE FLOOR AREA FOR OCCUPANCY"
NSGUTTER06,"SECTIONS MISSING IN GUTTER"
NSZDRIVE2,"PARKING STATION (LOT) NOT MAINTAINED"
NSINDOOR04,"NO INTERIOR DOOR WHERE REQUIRED"
NSZGUTT04,"DOWNSPOUT(S) MISSING"
NSSEWER05,"PRIVATE SEWAGE SYSTEM NOT FUNCTIONING"
NSZDISPL05,"STOREFRONT(S) SAFETY HAZARD"
NSPLUMB07,"BATHROOM LOCATION IS IMPROPER"
NSZFENCE06,"NO FENCE OR WALL MAY BE OVER 6 FEET AND"
NSZFENCE09,"FENCE ENCROACHING ON ROW"
NSPLUMB20,"LAVATORY NOT PROVIDED WITH HOT WATER"
